,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[168.785, 5.0, 153.635, 1.0, 155.529, 1.0, 166.891, 5.0]",18.693499625196782,21.94852211817505,18.53035072688636,17.957370820308956,16.741631905854096,17.365493190255695,14.740385191429587,20.645064822785166,52.68943136717488,21.217609737742816,21.78175509567127,21.213657837067608,18.80226870960545,17.596658641002627,20.27729771324265,18.75577409774904
"[168.785, 3.0, 153.635, 1.0, 155.529, 3.0, 166.891, 3.0]",36.9925727668064,33.40480183218583,35.655816496613575,35.35525768177248,33.96239505231713,30.545492740790795,32.241665447369655,34.01129616721302,35.883328840773814,53.831174835817905,35.42813388080329,36.99250142953097,31.434096617428636,31.78138873733285,33.5736225509054,33.17925118809576
"[168.785, 5.0, 153.635, 1.0, 155.529, 3.0, 166.891, 3.0]",25.967964421529686,28.747258923338418,33.135816131657315,31.178739007665026,25.761770636402538,26.93621633566003,24.01390757852131,29.874562753013613,54.55990308772726,33.05410179615186,32.767152674009985,32.90871933570576,26.42557837071671,26.377031990774842,27.490606269299583,30.672082054375327
"[168.785, 5.0, 153.635, 1.0, 155.529, 5.0, 166.891, 5.0]",21.756025031689255,16.49039628895631,22.460630035299953,19.563930316590632,47.17916007576501,16.115736028349094,20.86932718903266,18.053579494848737,17.81050033028627,14.254015114837884,19.083089002187013,18.072639120160783,14.9329384512388,17.781530443148384,18.942125884456328,17.39945120368673
"[168.785, 3.0, 153.635, 1.0, 155.529, 3.0, 166.891, 1.0]",31.753835681435245,28.297012356077882,53.245641726777585,26.828339581413267,27.87263994192441,25.305969197341643,25.997445942494984,27.82078055424957,30.138344389825164,25.88818616872253,28.324052077099378,27.60893124892544,26.698378783886866,28.26154326049366,25.885106254591573,25.342952747071607
"[168.785, 1.0, 153.635, 3.0, 155.529, 3.0, 166.891, 1.0]",30.99053735465921,25.320447110101757,29.19767884247789,25.161495788076696,30.263795612557452,27.4441458843442,28.36751181978268,25.909150937499497,45.09351775647632,21.604351096886386,26.514750477691475,23.017272219343116,26.665584144387452,27.344631424996116,27.375363705349898,25.75245372439347
"[0.0, 5.0, 0.0, 3.0, 0.0, 5.0, 0.0, 3.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[168.785, 1.0, 153.635, 1.0, 155.529, 3.0, 166.891, 3.0]",30.996333831903492,30.321106225156583,27.945617543706845,30.661934748785992,26.436355409245223,26.97841017351313,46.75328937415776,24.553629516309815,25.441945286639186,26.214487835029853,29.545236512964795,29.77356068312076,24.350998730834377,27.54720241338847,25.128016640963207,26.037859979601393
"[168.785, 3.0, 153.635, 3.0, 155.529, 1.0, 166.891, 1.0]",30.475252311602574,28.828897275429956,26.662676557254258,28.99047585897262,28.78846343879571,22.96350662332725,26.106950613786672,31.285243977716796,26.569238027157894,30.71932037719181,24.06501458299152,26.681715939144972,54.02758897146357,28.28411970357928,25.90350460163905,23.712426889871473
"[168.785, 5.0, 153.635, 5.0, 155.529, 3.0, 166.891, 5.0]",25.84481609617193,26.43282739335125,27.32877314853062,22.6232517318465,26.98414320072212,24.756094227450745,25.72314046977944,26.61838265692184,26.01526189054912,24.07030063896216,26.14601142118208,23.89753139218683,24.907729746759802,23.055354208103576,52.48352052781826,23.62009371962875
